"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC","Link"
"C1,C4","10u","https://www.lcsc.com/datasheet/lcsc_datasheet_2208231630_Samsung-Electro-Mechanics-CL05A106MQ5NUNC_C15525.pdf","Capacitor_SMD:C_0805_2012Metric","2","","C15525","https://jlcpcb.com/partdetail/C15525"
"C2,C3","15p","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05C100JB5NNNC_C32949.pdf","Capacitor_SMD:C_0402_1005Metric","2","","C32949","https://jlcpcb.com/partdetail/C32949"
"C5,C6,C7,C9,C11,C12,C13,C14,C15,C16,C18,C19","100n","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf","Capacitor_SMD:C_0402_1005Metric","12","","C1525","https://jlcpcb.com/partdetail/C1525"
"C8,C10","1u","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf","Capacitor_SMD:C_0402_1005Metric","2","","C52923","https://jlcpcb.com/partdetail/C52923"
"C17","10n","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B103KB5NNNC_C15195.pdf","Capacitor_SMD:C_0402_1005Metric","1","","C15195","https://jlcpcb.com/partdetail/15869-CL05B103KB5NNNC/C15195"
"C20","2.2n","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B222K500NT_C1531.pdf","Capacitor_SMD:C_0402_1005Metric","1","","C1531","https://jlcpcb.com/partdetail/1883-0402B222K500NT/C1531"
"J1","Conn_01x02","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_BOOMELE-Boom-Precision-Elec-2-54-1-2P_C49661.pdf","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","","C49661","https://jlcpcb.com/partdetail/50669-2_54_1_2P/C49661"
"J2","USBR-A-S-F-O-TH","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2401291333_Samtec-USBR-A-S-F-O-TH_C3197891.pdf","USBR-A-S-F-O-TH (1):SAMTEC_USBR-A-S-F-O-TH","1","","C3197891","https://jlcpcb.com/partdetail/Samtec-USBR_A_S_F_OTH/C3197891"
"R1,R5","1k","https://www.lcsc.com/datasheet/lcsc_datasheet_2205311845_UNI-ROYAL-Uniroyal-Elec-0402WGJ0102TCE_C25543.pdf","Resistor_SMD:R_0402_1005Metric","2","","C25543","https://jlcpcb.com/partdetail/26286-0402WGJ0102TCE/C25543"
"R3,R4","27","https://www.lcsc.com/datasheet/lcsc_datasheet_2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF270JTCE_C25100.pdf","Resistor_SMD:R_0402_1005Metric","2","","C25100","https://jlcpcb.com/partdetail/25843-0402WGF270JTCE/C25100"
"R6,R7","4.7k","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-RC0402FR-074K7L_C105871.pdf","Resistor_SMD:R_0402_1005Metric","2","","C105871","https://jlcpcb.com/parts/componentSearch?searchTxt=4.7k%200402"
"U1","NCP1117-3.3_SOT223","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","","C26537","https://jlcpcb.com/partdetail/Onsemi-NCP1117ST33T3G/C26537"
"U2","W25Q128JVS","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","1","","C2613930","https://jlcpcb.com/partdetail/WinbondElec-W25Q128JVSIM/C2613930"
"U3","RP2040","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","1","","C2040","https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040"
"U4","MPU-6050","https://invensense.tdk.com/wp-content/uploads/2015/02/MPU-6000-Datasheet1.pdf","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","1","","C24112","https://jlcpcb.com/partdetail/TdkInvensense-MPU6050/C24112"
"Y1","ABM8-272-T3","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8559470777180311552","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1","","C20625731 ","https://jlcpcb.com/partdetail/AbraconLlc-ABM8_272T3/C20625731"
